sale_id,locality,city,property_type,bhk,area_sqft,sold_price,price_per_sqft,sold_date
SALE1098,Pitampura,Delhi NCR,APARTMENT,5,3435,41600000,12110.63,2025-02-19
SALE1099,Preet Vihar,Delhi NCR,APARTMENT,4,2072,28240000,13629.34,2026-06-19
SALE1100,Faridabad Neharpar,Delhi NCR,INDEPENDENT_HOUSE,5,3060,20840000,6810.46,2026-02-18
SALE1101,Ghaziabad Indirapuram,Delhi NCR,INDEPENDENT_HOUSE,5,3340,33040000,9892.22,2023-08-02
SALE1102,Ghaziabad Indirapuram,Delhi NCR,APARTMENT,4,2720,18930000,6959.56,2025-09-17
SALE1103,Preet Vihar,Delhi NCR,INDEPENDENT_HOUSE,3,2148,32070000,14930.17,2025-08-06
SALE1104,Preet Vihar,Delhi NCR,BUILDER_FLOOR,4,1956,26020000,13302.66,2025-02-28
SALE1105,Preet Vihar,Delhi NCR,BUILDER_FLOOR,3,1839,25700000,13974.99,2024-05-08
SALE1106,Gurgaon Golf Course Road,Delhi NCR,APARTMENT,2,1136,30690000,27015.85,2025-06-22
SALE1107,Gurgaon Sector 56,Delhi NCR,INDEPENDENT_HOUSE,2,964,14650000,15197.1,2023-11-20
SALE1108,East Delhi,Delhi NCR,INDEPENDENT_HOUSE,4,2648,26220000,9901.81,2024-11-08
SALE1109,Greater Noida,Delhi NCR,BUILDER_FLOOR,5,2300,16550000,7195.65,2024-11-29
SALE1110,Noida Extension,Delhi NCR,BUILDER_FLOOR,1,630,4440000,7047.62,2026-05-31
SALE1111,Noida Extension,Delhi NCR,BUILDER_FLOOR,5,3645,29800000,8175.58,2026-03-06
SALE1112,Pitampura,Delhi NCR,BUILDER_FLOOR,2,1178,16170000,13726.66,2024-05-04
SALE1113,Vasant Kunj,Delhi NCR,BUILDER_FLOOR,3,1971,44170000,22409.94,2025-01-19
SALE1114,Ghaziabad Vasundhara,Delhi NCR,APARTMENT,5,3615,21090000,5834.02,2024-02-01
SALE1115,Noida Sector 76,Delhi NCR,INDEPENDENT_HOUSE,5,2315,20670000,8928.73,2026-04-16
SALE1116,Greater Noida Pari Chowk,Delhi NCR,APARTMENT,4,2172,13150000,6054.33,2026-03-01
SALE1117,Noida Extension,Delhi NCR,BUILDER_FLOOR,2,1364,9700000,7111.44,2024-06-12
SALE1118,Noida Extension,Delhi NCR,BUILDER_FLOOR,4,2316,19120000,8255.61,2025-06-20
SALE1119,Ghaziabad Raj Nagar Extension,Delhi NCR,APARTMENT,5,2380,15050000,6323.53,2025-05-18
SALE1120,West Delhi,Delhi NCR,APARTMENT,1,470,5310000,11297.87,2024-01-04
SALE1121,Preet Vihar,Delhi NCR,APARTMENT,1,528,6080000,11515.15,2025-11-02
SALE1122,Ghaziabad Raj Nagar Extension,Delhi NCR,INDEPENDENT_HOUSE,1,738,5530000,7493.22,2025-03-03
SALE1123,Ghaziabad Vasundhara,Delhi NCR,INDEPENDENT_HOUSE,3,1914,14060000,7345.87,2025-11-20
SALE1124,Cyber City Gurgaon,Delhi NCR,APARTMENT,3,1515,24810000,16376.24,2025-02-21
SALE1125,Noida Sector 62,Delhi NCR,INDEPENDENT_HOUSE,4,2612,39040000,14946.4,2023-07-21
SALE1126,Rohini Sector 10,Delhi NCR,APARTMENT,5,2870,30330000,10567.94,2024-07-10
SALE1127,Noida Sector 62,Delhi NCR,INDEPENDENT_HOUSE,5,2555,36720000,14371.82,2023-08-11
SALE1128,Saket,Delhi NCR,BUILDER_FLOOR,5,3345,63130000,18872.94,2026-05-04
SALE1129,Lajpat Nagar,Delhi NCR,INDEPENDENT_HOUSE,3,1368,34460000,25190.06,2026-03-10
SALE1130,Faridabad Sector 15,Delhi NCR,APARTMENT,4,2540,21150000,8326.77,2026-01-17
SALE1131,Ghaziabad Vasundhara,Delhi NCR,INDEPENDENT_HOUSE,2,1344,9900000,7366.07,2024-06-22
SALE1132,Faridabad Neharpar,Delhi NCR,INDEPENDENT_HOUSE,3,2175,14130000,6496.55,2023-09-22
SALE1133,Ghaziabad Vasundhara,Delhi NCR,BUILDER_FLOOR,5,2935,18890000,6436.12,2026-03-09
SALE1134,Preet Vihar,Delhi NCR,APARTMENT,3,2040,23540000,11539.22,2026-05-23
SALE1135,Ghaziabad Vasundhara,Delhi NCR,INDEPENDENT_HOUSE,5,3220,24990000,7760.87,2023-10-22
SALE1136,Faridabad Sector 15,Delhi NCR,BUILDER_FLOOR,2,1398,10220000,7310.44,2025-01-03
SALE1137,Central Delhi,Delhi NCR,BUILDER_FLOOR,3,1773,46870000,26435.42,2023-10-04
SALE1138,Faridabad Neharpar,Delhi NCR,APARTMENT,1,573,3050000,5322.86,2025-10-31
SALE1139,Faridabad Sector 15,Delhi NCR,INDEPENDENT_HOUSE,2,1386,13890000,10021.65,2025-11-06
SALE1140,Faridabad Sector 15,Delhi NCR,BUILDER_FLOOR,1,497,3730000,7505.03,2023-12-08
SALE1141,Noida Sector 76,Delhi NCR,INDEPENDENT_HOUSE,2,1212,12970000,10701.32,2024-12-22
SALE1142,Sohna Road Gurgaon,Delhi NCR,BUILDER_FLOOR,5,3605,30920000,8576.98,2025-03-14
SALE1143,East Delhi,Delhi NCR,BUILDER_FLOOR,4,2352,21050000,8949.83,2024-05-06
SALE1144,Pitampura,Delhi NCR,APARTMENT,2,1222,15160000,12405.89,2026-03-03
SALE1145,Dwarka Sector 21,Delhi NCR,APARTMENT,2,1394,19510000,13995.7,2024-10-26
SALE1146,Faridabad Neharpar,Delhi NCR,INDEPENDENT_HOUSE,3,1503,9920000,6600.13,2024-03-09
SALE1147,Noida Sector 18,Delhi NCR,APARTMENT,3,1623,22140000,13641.4,2025-03-03
SALE1148,Golf Course Extension Road,Delhi NCR,BUILDER_FLOOR,1,477,7270000,15241.09,2025-09-28
SALE1149,Golf Course Extension Road,Delhi NCR,INDEPENDENT_HOUSE,4,2008,40190000,20014.94,2024-02-26
SALE1150,Noida Sector 18,Delhi NCR,BUILDER_FLOOR,4,2700,37280000,13807.41,2024-06-26
SALE1151,Hauz Khas,Delhi NCR,BUILDER_FLOOR,4,2032,55710000,27416.34,2026-07-15
SALE1152,Noida Sector 76,Delhi NCR,BUILDER_FLOOR,1,745,6580000,8832.21,2025-07-02
SALE1153,Hauz Khas,Delhi NCR,APARTMENT,2,1476,41870000,28367.21,2024-11-12
SALE1154,Gurgaon Golf Course Road,Delhi NCR,APARTMENT,1,735,22210000,30217.69,2025-02-07
SALE1155,Pitampura,Delhi NCR,INDEPENDENT_HOUSE,4,2720,51300000,18860.29,2023-11-30
SALE1156,Noida Sector 62,Delhi NCR,INDEPENDENT_HOUSE,4,2424,32660000,13473.6,2024-03-23
SALE1157,Hauz Khas,Delhi NCR,INDEPENDENT_HOUSE,1,556,17310000,31133.09,2024-07-25
SALE1158,Central Delhi,Delhi NCR,INDEPENDENT_HOUSE,1,530,15250000,28773.58,2025-04-25
SALE1159,Lajpat Nagar,Delhi NCR,APARTMENT,1,659,12340000,18725.34,2024-03-29
SALE1160,Ghaziabad Raj Nagar Extension,Delhi NCR,BUILDER_FLOOR,1,568,2930000,5158.45,2024-03-18
SALE1161,Noida Sector 18,Delhi NCR,INDEPENDENT_HOUSE,4,1944,35730000,18379.63,2023-10-06
SALE1162,Central Delhi,Delhi NCR,INDEPENDENT_HOUSE,5,2755,84030000,30500.91,2025-06-11
SALE1163,Pitampura,Delhi NCR,INDEPENDENT_HOUSE,2,1172,21620000,18447.1,2024-03-27
SALE1164,Lajpat Nagar,Delhi NCR,APARTMENT,2,1214,23720000,19538.71,2026-04-08
SALE1165,Noida Sector 18,Delhi NCR,BUILDER_FLOOR,1,689,10560000,15326.56,2026-02-17
SALE1166,Noida Sector 76,Delhi NCR,BUILDER_FLOOR,5,3630,30800000,8484.85,2023-10-06
SALE1167,Gurgaon Golf Course Road,Delhi NCR,INDEPENDENT_HOUSE,1,671,24130000,35961.25,2024-04-06
SALE1168,Central Delhi,Delhi NCR,APARTMENT,1,567,16780000,29594.36,2025-07-23
SALE1169,Vasant Kunj,Delhi NCR,INDEPENDENT_HOUSE,3,2235,48550000,21722.6,2024-03-11
SALE1170,Dwarka Sector 21,Delhi NCR,BUILDER_FLOOR,5,3380,57030000,16872.78,2023-12-13
SALE1171,Dwarka Sector 21,Delhi NCR,INDEPENDENT_HOUSE,4,2804,57570000,20531.38,2026-05-11
SALE1172,Ghaziabad Raj Nagar Extension,Delhi NCR,BUILDER_FLOOR,4,2480,12910000,5205.65,2025-04-06
SALE1173,DLF Phase 5,Delhi NCR,APARTMENT,3,1980,50280000,25393.94,2024-12-20
SALE1174,Noida Sector 18,Delhi NCR,INDEPENDENT_HOUSE,4,2924,43810000,14982.9,2025-11-26
SALE1175,Gurgaon Golf Course Road,Delhi NCR,BUILDER_FLOOR,3,1845,45710000,24775.07,2025-12-22
SALE1176,Noida Sector 76,Delhi NCR,INDEPENDENT_HOUSE,1,727,7330000,10082.53,2024-02-14
SALE1177,Hauz Khas,Delhi NCR,APARTMENT,5,3175,82300000,25921.26,2023-11-04
SALE1178,Faridabad Sector 15,Delhi NCR,INDEPENDENT_HOUSE,4,1904,16650000,8744.75,2024-11-04
SALE1179,Golf Course Extension Road,Delhi NCR,BUILDER_FLOOR,4,2792,37120000,13295.13,2024-10-27
SALE1180,Preet Vihar,Delhi NCR,INDEPENDENT_HOUSE,2,1218,18550000,15229.89,2024-12-13
SALE1181,Greater Noida,Delhi NCR,APARTMENT,2,1016,6530000,6427.17,2025-09-27
SALE1182,Cyber City Gurgaon,Delhi NCR,INDEPENDENT_HOUSE,2,1410,30590000,21695.04,2025-07-28
SALE1183,Noida Sector 18,Delhi NCR,INDEPENDENT_HOUSE,3,1986,38030000,19149.04,2026-07-03
SALE1184,Ghaziabad Raj Nagar Extension,Delhi NCR,APARTMENT,4,2928,14390000,4914.62,2023-11-05
SALE1185,Rohini Sector 10,Delhi NCR,INDEPENDENT_HOUSE,5,2595,41450000,15973.03,2024-10-04
SALE1186,Noida Sector 150,Delhi NCR,BUILDER_FLOOR,3,2127,23740000,11161.26,2024-07-26
SALE1187,South Delhi,Delhi NCR,BUILDER_FLOOR,3,2250,50690000,22528.89,2026-02-19
SALE1188,Faridabad Sector 15,Delhi NCR,APARTMENT,4,2900,23090000,7962.07,2024-04-18
SALE1189,East Delhi,Delhi NCR,INDEPENDENT_HOUSE,5,3215,36160000,11247.28,2024-02-14
SALE1190,North Delhi,Delhi NCR,APARTMENT,2,1484,14320000,9649.6,2024-11-23
SALE1191,Greater Noida,Delhi NCR,APARTMENT,3,2076,14320000,6897.88,2024-10-25
SALE1192,Noida Extension,Delhi NCR,BUILDER_FLOOR,2,1406,12020000,8549.08,2024-05-21
SALE1193,Golf Course Extension Road,Delhi NCR,INDEPENDENT_HOUSE,5,3095,61890000,19996.77,2024-04-19
SALE1194,Ghaziabad Indirapuram,Delhi NCR,APARTMENT,5,3415,21890000,6409.96,2026-04-27
SALE1195,Gurgaon Sector 56,Delhi NCR,BUILDER_FLOOR,2,976,12570000,12879.1,2024-11-17
SALE1196,Central Delhi,Delhi NCR,BUILDER_FLOOR,5,3265,88710000,27169.98,2026-02-19
SALE1197,East Delhi,Delhi NCR,INDEPENDENT_HOUSE,5,3220,41710000,12953.42,2025-03-15
SALE1198,Faridabad Sector 15,Delhi NCR,INDEPENDENT_HOUSE,1,485,4290000,8845.36,2023-09-14
SALE1199,Noida Sector 18,Delhi NCR,APARTMENT,1,672,11140000,16577.38,2026-07-20
SALE1200,DLF Phase 5,Delhi NCR,BUILDER_FLOOR,2,1206,32450000,26907.13,2026-01-22
SALE1201,Saket,Delhi NCR,BUILDER_FLOOR,1,600,10340000,17233.33,2026-06-17
SALE1202,Greater Noida Pari Chowk,Delhi NCR,APARTMENT,2,1442,9830000,6816.92,2026-05-01
SALE1203,Dwarka Sector 21,Delhi NCR,APARTMENT,2,980,15180000,15489.8,2026-02-05
SALE1204,Noida Extension,Delhi NCR,INDEPENDENT_HOUSE,2,1408,14240000,10113.64,2024-01-19
SALE1205,Gurgaon Sector 56,Delhi NCR,APARTMENT,4,2320,29790000,12840.52,2025-01-03
SALE1206,South Delhi,Delhi NCR,BUILDER_FLOOR,3,2187,43180000,19743.94,2024-03-11
SALE1207,Ghaziabad Indirapuram,Delhi NCR,BUILDER_FLOOR,5,3015,23560000,7814.26,2024-10-02
SALE1208,Greater Noida Pari Chowk,Delhi NCR,INDEPENDENT_HOUSE,3,2049,18990000,9267.94,2023-09-23
SALE1209,Rohini Sector 10,Delhi NCR,BUILDER_FLOOR,4,2016,22280000,11051.59,2024-09-08
SALE1210,West Delhi,Delhi NCR,INDEPENDENT_HOUSE,3,1803,19460000,10793.12,2026-07-04
SALE1211,Noida Sector 76,Delhi NCR,BUILDER_FLOOR,1,739,6970000,9431.66,2024-05-06
SALE1212,Hauz Khas,Delhi NCR,INDEPENDENT_HOUSE,4,2384,77440000,32483.22,2025-11-26
SALE1213,Pitampura,Delhi NCR,INDEPENDENT_HOUSE,3,1686,29490000,17491.1,2024-11-30
SALE1214,Central Delhi,Delhi NCR,INDEPENDENT_HOUSE,2,998,34910000,34979.96,2024-10-26
SALE1215,Saket,Delhi NCR,BUILDER_FLOOR,4,1868,34430000,18431.48,2026-06-04
SALE1216,Golf Course Extension Road,Delhi NCR,APARTMENT,3,1851,29830000,16115.61,2026-07-15
SALE1217,Dwarka Sector 21,Delhi NCR,APARTMENT,2,1452,24240000,16694.21,2025-03-21
SALE1218,Sohna Road Gurgaon,Delhi NCR,INDEPENDENT_HOUSE,5,2945,34960000,11870.97,2025-09-15
SALE1219,Central Delhi,Delhi NCR,BUILDER_FLOOR,3,1869,53030000,28373.46,2024-01-06
SALE1220,Ghaziabad Vasundhara,Delhi NCR,APARTMENT,2,1130,8510000,7530.97,2024-06-10
SALE1221,Noida Sector 76,Delhi NCR,INDEPENDENT_HOUSE,3,1488,16500000,11088.71,2026-06-16
SALE1222,South Delhi,Delhi NCR,BUILDER_FLOOR,5,2565,55660000,21699.81,2025-04-15
SALE1223,Central Delhi,Delhi NCR,INDEPENDENT_HOUSE,4,2560,70490000,27535.16,2025-03-06
SALE1224,Pitampura,Delhi NCR,BUILDER_FLOOR,1,737,9790000,13283.58,2025-10-17
SALE1225,Pitampura,Delhi NCR,INDEPENDENT_HOUSE,1,687,12960000,18864.63,2023-09-21
SALE1226,Noida Sector 62,Delhi NCR,INDEPENDENT_HOUSE,4,2036,23970000,11773.08,2025-04-21
SALE1227,Saket,Delhi NCR,BUILDER_FLOOR,4,2036,32220000,15825.15,2025-01-22
SALE1228,Golf Course Extension Road,Delhi NCR,BUILDER_FLOOR,4,2556,40300000,15766.82,2026-02-09
SALE1229,Greater Noida,Delhi NCR,INDEPENDENT_HOUSE,2,1324,10810000,8164.65,2024-01-09
SALE1230,Faridabad Sector 15,Delhi NCR,INDEPENDENT_HOUSE,4,2372,19580000,8254.64,2026-06-08
SALE1231,Sohna Road Gurgaon,Delhi NCR,APARTMENT,4,2708,27670000,10217.87,2023-10-16
SALE1232,Sohna Road Gurgaon,Delhi NCR,APARTMENT,3,2184,22020000,10082.42,2024-02-09
SALE1233,West Delhi,Delhi NCR,APARTMENT,4,2364,22510000,9522.0,2025-05-03
SALE1234,Cyber City Gurgaon,Delhi NCR,BUILDER_FLOOR,1,558,9310000,16684.59,2025-07-30
SALE1235,Vasant Kunj,Delhi NCR,APARTMENT,3,1722,41470000,24082.46,2024-04-03
SALE1236,Janakpuri,Delhi NCR,APARTMENT,5,2780,38500000,13848.92,2023-11-29
SALE1237,Pitampura,Delhi NCR,BUILDER_FLOOR,2,902,11780000,13059.87,2026-03-22
SALE1238,Gurgaon Sector 56,Delhi NCR,APARTMENT,5,2890,40930000,14162.63,2024-04-15
SALE1239,Cyber City Gurgaon,Delhi NCR,INDEPENDENT_HOUSE,1,517,8480000,16402.32,2025-05-02
SALE1240,Preet Vihar,Delhi NCR,INDEPENDENT_HOUSE,3,1374,18600000,13537.12,2025-05-29
SALE1241,Hauz Khas,Delhi NCR,APARTMENT,4,2876,63570000,22103.62,2024-10-22
SALE1242,Lajpat Nagar,Delhi NCR,BUILDER_FLOOR,4,2540,48450000,19074.8,2025-04-20
SALE1243,DLF Phase 5,Delhi NCR,BUILDER_FLOOR,5,2815,76590000,27207.82,2025-02-12
SALE1244,Saket,Delhi NCR,INDEPENDENT_HOUSE,5,3020,64410000,21327.81,2026-05-10
SALE1245,Vasant Kunj,Delhi NCR,APARTMENT,4,2620,53800000,20534.35,2024-02-29
SALE1246,DLF Phase 5,Delhi NCR,BUILDER_FLOOR,4,1948,52350000,26873.72,2025-09-12
SALE1247,North Delhi,Delhi NCR,INDEPENDENT_HOUSE,2,966,10290000,10652.17,2024-04-07
SALE1248,North Delhi,Delhi NCR,BUILDER_FLOOR,5,3605,33830000,9384.19,2024-09-26
SALE1249,Faridabad Sector 81,Delhi NCR,INDEPENDENT_HOUSE,4,2000,16970000,8485.0,2025-07-26
