log_id,session_id,user_id,action_name,input_params,output_result,status,execution_time_ms,timestamp
LOG1026,SESS733,OWN1109,get_average_rent,"{""locality"": ""Saket"", ""bhk"": 2}","{""status"": ""FAILED"", ""avg_rent_inr"": ""Error: Locality not found""}",FAILED,2744,2026-07-21 06:50:37
LOG1027,SESS550,OWN1157,get_average_rent,"{""locality"": ""Saket"", ""bhk"": 2}","{""status"": ""SUCCESS"", ""avg_rent_inr"": 18018}",SUCCESS,2703,2026-07-21 06:50:48
LOG1028,SESS582,OWN1501,search_properties_rag,"{""query"": ""2BHK under 50L near metro"", ""locality"": ""South Delhi"", ""max_price"": 5000000}","{""status"": ""SUCCESS"", ""matches_found"": 3, ""top_property_id"": ""PROP1246""}",SUCCESS,487,2026-07-21 06:51:04
LOG1029,SESS561,OWN1900,send_owner_email,"{""owner_id"": ""OWN1044"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""FAILED"", ""email_sent"": false, ""error_code"": ""SMTP_TIMEOUT""}",FAILED,2240,2026-07-21 06:50:52
LOG1030,SESS708,OWN1071,send_owner_email,"{""owner_id"": ""OWN1066"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,2196,2026-07-21 06:51:06
LOG1031,SESS742,OWN1563,estimate_fair_price,"{""property_id"": ""PROP1894"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""SUCCESS"", ""estimated_price"": 5772119}",SUCCESS,1983,2026-07-21 06:50:49
LOG1032,SESS746,OWN1217,send_owner_email,"{""owner_id"": ""OWN1103"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,1526,2026-07-21 06:50:57
LOG1033,SESS602,OWN1688,get_average_rent,"{""locality"": ""Saket"", ""bhk"": 2}","{""status"": ""SUCCESS"", ""avg_rent_inr"": 32794}",SUCCESS,745,2026-07-21 06:50:17
LOG1034,SESS563,OWN1231,search_properties_rag,"{""query"": ""2BHK under 50L near metro"", ""locality"": ""Gurgaon Sector 56"", ""max_price"": 5000000}","{""status"": ""SUCCESS"", ""matches_found"": 5, ""top_property_id"": ""PROP1236""}",SUCCESS,2660,2026-07-21 06:50:28
LOG1035,SESS556,OWN1008,search_properties_rag,"{""query"": ""2BHK under 50L near metro"", ""locality"": ""Noida Sector 62"", ""max_price"": 5000000}","{""status"": ""SUCCESS"", ""matches_found"": 2, ""top_property_id"": ""PROP1070""}",SUCCESS,378,2026-07-21 06:50:32
LOG1036,SESS720,OWN1339,search_properties_rag,"{""query"": ""2BHK under 50L near metro"", ""locality"": ""South Delhi"", ""max_price"": 5000000}","{""status"": ""SUCCESS"", ""matches_found"": 4, ""top_property_id"": ""PROP1220""}",SUCCESS,2458,2026-07-21 06:50:19
LOG1037,SESS533,OWN1741,send_owner_email,"{""owner_id"": ""OWN1125"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,2187,2026-07-21 06:50:28
LOG1038,SESS706,OWN1417,estimate_fair_price,"{""property_id"": ""PROP1675"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""SUCCESS"", ""estimated_price"": 5403979}",SUCCESS,1701,2026-07-21 06:50:21
LOG1039,SESS608,OWN1421,schedule_property_visit,"{""property_id"": ""PROP1056"", ""user_name"": ""Sudiksha Patla"", ""slot"": ""2026-08-10 11:00 AM""}","{""status"": ""FAILED"", ""visit_id"": ""Error: Slot unavailable""}",FAILED,653,2026-07-21 06:50:24
LOG1040,SESS515,OWN1413,get_average_rent,"{""locality"": ""Indirapuram"", ""bhk"": 2}","{""status"": ""FAILED"", ""avg_rent_inr"": ""Error: Locality not found""}",FAILED,1268,2026-07-21 06:50:36
LOG1041,SESS549,OWN1195,send_owner_email,"{""owner_id"": ""OWN1217"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,1001,2026-07-21 06:50:55
LOG1042,SESS571,OWN1474,estimate_fair_price,"{""property_id"": ""PROP1078"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""FAILED"", ""estimated_price"": ""Error: Incomplete historical sales data""}",FAILED,2065,2026-07-21 06:50:57
LOG1043,SESS706,OWN1883,send_owner_email,"{""owner_id"": ""OWN1277"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,310,2026-07-21 06:50:56
LOG1044,SESS748,OWN1096,estimate_fair_price,"{""property_id"": ""PROP1498"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""SUCCESS"", ""estimated_price"": 5509481}",SUCCESS,1125,2026-07-21 06:50:19
LOG1045,SESS721,OWN1411,search_properties_rag,"{""query"": ""2BHK under 50L near metro"", ""locality"": ""Noida Sector 62"", ""max_price"": 5000000}","{""status"": ""SUCCESS"", ""matches_found"": 4, ""top_property_id"": ""PROP1272""}",SUCCESS,2113,2026-07-21 06:50:53
LOG1046,SESS573,OWN1434,send_owner_email,"{""owner_id"": ""OWN1250"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,884,2026-07-21 06:50:47
LOG1047,SESS548,OWN1304,estimate_fair_price,"{""property_id"": ""PROP1594"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""FAILED"", ""estimated_price"": ""Error: Incomplete historical sales data""}",FAILED,2470,2026-07-21 06:50:29
LOG1048,SESS515,OWN1766,get_average_rent,"{""locality"": ""Saket"", ""bhk"": 2}","{""status"": ""SUCCESS"", ""avg_rent_inr"": 33623}",SUCCESS,2309,2026-07-21 06:50:42
LOG1049,SESS735,OWN1874,send_owner_email,"{""owner_id"": ""OWN1261"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,578,2026-07-21 06:50:31
LOG1050,SESS717,OWN1191,search_properties_rag,"{""query"": ""2BHK under 50L near metro"", ""locality"": ""Gurgaon Sector 56"", ""max_price"": 5000000}","{""status"": ""SUCCESS"", ""matches_found"": 2, ""top_property_id"": ""PROP1414""}",SUCCESS,741,2026-07-21 06:51:10
LOG1051,SESS741,OWN1912,send_owner_email,"{""owner_id"": ""OWN1021"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,2786,2026-07-21 06:50:56
LOG1052,SESS520,OWN1430,send_owner_email,"{""owner_id"": ""OWN1162"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,1318,2026-07-21 06:50:28
LOG1053,SESS552,OWN1686,get_average_rent,"{""locality"": ""Cyber City Gurgaon"", ""bhk"": 2}","{""status"": ""SUCCESS"", ""avg_rent_inr"": 22288}",SUCCESS,1478,2026-07-21 06:50:34
LOG1054,SESS617,OWN1324,search_properties_rag,"{""query"": ""2BHK under 50L near metro"", ""locality"": ""Gurgaon Sector 56"", ""max_price"": 5000000}","{""status"": ""SUCCESS"", ""matches_found"": 5, ""top_property_id"": ""PROP1103""}",SUCCESS,550,2026-07-21 06:51:01
LOG1055,SESS637,OWN1219,send_owner_email,"{""owner_id"": ""OWN1179"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,531,2026-07-21 06:50:18
LOG1056,SESS725,OWN1251,get_average_rent,"{""locality"": ""Cyber City Gurgaon"", ""bhk"": 2}","{""status"": ""SUCCESS"", ""avg_rent_inr"": 27912}",SUCCESS,2755,2026-07-21 06:51:04
LOG1057,SESS706,OWN1670,send_owner_email,"{""owner_id"": ""OWN1284"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,1476,2026-07-21 06:51:03
LOG1058,SESS738,OWN1680,search_properties_rag,"{""query"": ""2BHK under 50L near metro"", ""locality"": ""Noida Sector 62"", ""max_price"": 5000000}","{""status"": ""FAILED"", ""matches_found"": 0, ""top_property_id"": ""PROP1271""}",FAILED,722,2026-07-21 06:50:39
LOG1059,SESS727,OWN1110,send_owner_email,"{""owner_id"": ""OWN1145"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,2727,2026-07-21 06:50:18
LOG1060,SESS553,OWN1735,get_average_rent,"{""locality"": ""Saket"", ""bhk"": 2}","{""status"": ""SUCCESS"", ""avg_rent_inr"": 26650}",SUCCESS,2320,2026-07-21 06:51:09
LOG1061,SESS625,OWN1258,search_properties_rag,"{""query"": ""2BHK under 50L near metro"", ""locality"": ""South Delhi"", ""max_price"": 5000000}","{""status"": ""SUCCESS"", ""matches_found"": 3, ""top_property_id"": ""PROP1046""}",SUCCESS,264,2026-07-21 06:50:49
LOG1062,SESS585,OWN1790,estimate_fair_price,"{""property_id"": ""PROP1269"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""SUCCESS"", ""estimated_price"": 4838861}",SUCCESS,2059,2026-07-21 06:50:58
LOG1063,SESS641,OWN1723,schedule_property_visit,"{""property_id"": ""PROP1115"", ""user_name"": ""Xalak Randhawa"", ""slot"": ""2026-08-10 11:00 AM""}","{""status"": ""SUCCESS"", ""visit_id"": ""VST1078""}",SUCCESS,860,2026-07-21 06:51:08
LOG1064,SESS639,OWN1037,get_average_rent,"{""locality"": ""Indirapuram"", ""bhk"": 2}","{""status"": ""SUCCESS"", ""avg_rent_inr"": 32083}",SUCCESS,772,2026-07-21 06:50:53
LOG1065,SESS510,OWN1316,get_average_rent,"{""locality"": ""Indirapuram"", ""bhk"": 2}","{""status"": ""FAILED"", ""avg_rent_inr"": ""Error: Locality not found""}",FAILED,1715,2026-07-21 06:50:23
LOG1066,SESS553,OWN1699,estimate_fair_price,"{""property_id"": ""PROP1363"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""SUCCESS"", ""estimated_price"": 5674160}",SUCCESS,1914,2026-07-21 06:50:23
LOG1067,SESS749,OWN1636,estimate_fair_price,"{""property_id"": ""PROP1243"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""FAILED"", ""estimated_price"": ""Error: Incomplete historical sales data""}",FAILED,915,2026-07-21 06:50:59
LOG1068,SESS749,OWN1820,estimate_fair_price,"{""property_id"": ""PROP1026"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""FAILED"", ""estimated_price"": ""Error: Incomplete historical sales data""}",FAILED,984,2026-07-21 06:50:47
LOG1069,SESS688,OWN1947,get_average_rent,"{""locality"": ""Cyber City Gurgaon"", ""bhk"": 2}","{""status"": ""SUCCESS"", ""avg_rent_inr"": 26131}",SUCCESS,1342,2026-07-21 06:50:59
LOG1070,SESS540,OWN1807,search_properties_rag,"{""query"": ""2BHK under 50L near metro"", ""locality"": ""Noida Sector 62"", ""max_price"": 5000000}","{""status"": ""SUCCESS"", ""matches_found"": 4, ""top_property_id"": ""PROP1228""}",SUCCESS,1067,2026-07-21 06:50:40
LOG1071,SESS709,OWN1941,schedule_property_visit,"{""property_id"": ""PROP1841"", ""user_name"": ""Janaki Kanda"", ""slot"": ""2026-08-10 11:00 AM""}","{""status"": ""SUCCESS"", ""visit_id"": ""VST1815""}",SUCCESS,1182,2026-07-21 06:51:14
LOG1072,SESS557,OWN1025,estimate_fair_price,"{""property_id"": ""PROP1286"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""SUCCESS"", ""estimated_price"": 4645585}",SUCCESS,1393,2026-07-21 06:50:23
LOG1073,SESS589,OWN1657,send_owner_email,"{""owner_id"": ""OWN1275"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,1606,2026-07-21 06:50:44
LOG1074,SESS740,OWN1029,search_properties_rag,"{""query"": ""2BHK under 50L near metro"", ""locality"": ""South Delhi"", ""max_price"": 5000000}","{""status"": ""FAILED"", ""matches_found"": 0, ""top_property_id"": ""PROP1183""}",FAILED,2628,2026-07-21 06:51:00
LOG1075,SESS746,OWN1272,search_properties_rag,"{""query"": ""2BHK under 50L near metro"", ""locality"": ""South Delhi"", ""max_price"": 5000000}","{""status"": ""SUCCESS"", ""matches_found"": 3, ""top_property_id"": ""PROP1747""}",SUCCESS,1534,2026-07-21 06:51:06
LOG1076,SESS611,OWN1621,send_owner_email,"{""owner_id"": ""OWN1296"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,1028,2026-07-21 06:50:24
LOG1077,SESS565,OWN1046,schedule_property_visit,"{""property_id"": ""PROP1948"", ""user_name"": ""Pahal Bhatt"", ""slot"": ""2026-08-10 11:00 AM""}","{""status"": ""SUCCESS"", ""visit_id"": ""VST1826""}",SUCCESS,2455,2026-07-21 06:50:38
LOG1078,SESS675,OWN1737,estimate_fair_price,"{""property_id"": ""PROP1072"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""SUCCESS"", ""estimated_price"": 5893007}",SUCCESS,1602,2026-07-21 06:50:50
LOG1079,SESS659,OWN1322,search_properties_rag,"{""query"": ""2BHK under 50L near metro"", ""locality"": ""South Delhi"", ""max_price"": 5000000}","{""status"": ""SUCCESS"", ""matches_found"": 5, ""top_property_id"": ""PROP1317""}",SUCCESS,1922,2026-07-21 06:50:43
LOG1080,SESS583,OWN1413,get_average_rent,"{""locality"": ""Indirapuram"", ""bhk"": 2}","{""status"": ""SUCCESS"", ""avg_rent_inr"": 31777}",SUCCESS,1802,2026-07-21 06:50:30
LOG1081,SESS673,OWN1767,estimate_fair_price,"{""property_id"": ""PROP1309"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""SUCCESS"", ""estimated_price"": 5351601}",SUCCESS,2494,2026-07-21 06:50:48
LOG1082,SESS713,OWN1001,get_average_rent,"{""locality"": ""Cyber City Gurgaon"", ""bhk"": 2}","{""status"": ""SUCCESS"", ""avg_rent_inr"": 28559}",SUCCESS,2154,2026-07-21 06:51:11
LOG1083,SESS613,OWN1453,estimate_fair_price,"{""property_id"": ""PROP1813"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""SUCCESS"", ""estimated_price"": 4855868}",SUCCESS,597,2026-07-21 06:50:55
LOG1084,SESS572,OWN1528,send_owner_email,"{""owner_id"": ""OWN1121"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,1521,2026-07-21 06:50:21
LOG1085,SESS557,OWN1826,estimate_fair_price,"{""property_id"": ""PROP1048"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""SUCCESS"", ""estimated_price"": 5013472}",SUCCESS,2196,2026-07-21 06:51:08
LOG1086,SESS656,OWN1871,search_properties_rag,"{""query"": ""2BHK under 50L near metro"", ""locality"": ""Gurgaon Sector 56"", ""max_price"": 5000000}","{""status"": ""SUCCESS"", ""matches_found"": 5, ""top_property_id"": ""PROP1200""}",SUCCESS,1822,2026-07-21 06:51:00
LOG1087,SESS626,OWN1410,estimate_fair_price,"{""property_id"": ""PROP1705"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""SUCCESS"", ""estimated_price"": 4511628}",SUCCESS,686,2026-07-21 06:51:01
LOG1088,SESS699,OWN1436,estimate_fair_price,"{""property_id"": ""PROP1981"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""SUCCESS"", ""estimated_price"": 5959432}",SUCCESS,2371,2026-07-21 06:50:35
LOG1089,SESS618,OWN1052,send_owner_email,"{""owner_id"": ""OWN1063"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,2119,2026-07-21 06:50:32
LOG1090,SESS534,OWN1821,schedule_property_visit,"{""property_id"": ""PROP1573"", ""user_name"": ""Sudiksha Aggarwal"", ""slot"": ""2026-08-10 11:00 AM""}","{""status"": ""SUCCESS"", ""visit_id"": ""VST1610""}",SUCCESS,1549,2026-07-21 06:51:12
LOG1091,SESS743,OWN1774,schedule_property_visit,"{""property_id"": ""PROP1737"", ""user_name"": ""Xiti Gokhale"", ""slot"": ""2026-08-10 11:00 AM""}","{""status"": ""SUCCESS"", ""visit_id"": ""VST1914""}",SUCCESS,2317,2026-07-21 06:50:45
LOG1092,SESS609,OWN1851,send_owner_email,"{""owner_id"": ""OWN1082"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,2194,2026-07-21 06:50:21
LOG1093,SESS615,OWN1266,estimate_fair_price,"{""property_id"": ""PROP1284"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""FAILED"", ""estimated_price"": ""Error: Incomplete historical sales data""}",FAILED,2385,2026-07-21 06:50:52
LOG1094,SESS624,OWN1642,estimate_fair_price,"{""property_id"": ""PROP1080"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""SUCCESS"", ""estimated_price"": 5996412}",SUCCESS,1420,2026-07-21 06:51:05
LOG1095,SESS560,OWN1279,get_average_rent,"{""locality"": ""Saket"", ""bhk"": 2}","{""status"": ""SUCCESS"", ""avg_rent_inr"": 20640}",SUCCESS,816,2026-07-21 06:50:45
LOG1096,SESS538,OWN1237,schedule_property_visit,"{""property_id"": ""PROP1724"", ""user_name"": ""Michael Prakash"", ""slot"": ""2026-08-10 11:00 AM""}","{""status"": ""SUCCESS"", ""visit_id"": ""VST1220""}",SUCCESS,513,2026-07-21 06:51:00
LOG1097,SESS606,OWN1418,get_average_rent,"{""locality"": ""Cyber City Gurgaon"", ""bhk"": 2}","{""status"": ""SUCCESS"", ""avg_rent_inr"": 20040}",SUCCESS,1097,2026-07-21 06:50:47
LOG1098,SESS713,OWN1431,schedule_property_visit,"{""property_id"": ""PROP1599"", ""user_name"": ""Ekiya Suresh"", ""slot"": ""2026-08-10 11:00 AM""}","{""status"": ""FAILED"", ""visit_id"": ""Error: Slot unavailable""}",FAILED,330,2026-07-21 06:50:16
LOG1099,SESS719,OWN1902,send_owner_email,"{""owner_id"": ""OWN1004"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,1690,2026-07-21 06:51:10
LOG1100,SESS576,OWN1772,schedule_property_visit,"{""property_id"": ""PROP1977"", ""user_name"": ""Wriddhish Bhardwaj"", ""slot"": ""2026-08-10 11:00 AM""}","{""status"": ""FAILED"", ""visit_id"": ""Error: Slot unavailable""}",FAILED,1966,2026-07-21 06:50:29
LOG1101,SESS637,OWN1766,send_owner_email,"{""owner_id"": ""OWN1113"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,2249,2026-07-21 06:50:49
LOG1102,SESS556,OWN1280,schedule_property_visit,"{""property_id"": ""PROP1399"", ""user_name"": ""Frederick Sunder"", ""slot"": ""2026-08-10 11:00 AM""}","{""status"": ""SUCCESS"", ""visit_id"": ""VST1345""}",SUCCESS,1906,2026-07-21 06:51:03
LOG1103,SESS685,OWN1170,schedule_property_visit,"{""property_id"": ""PROP1638"", ""user_name"": ""Kabir Soman"", ""slot"": ""2026-08-10 11:00 AM""}","{""status"": ""FAILED"", ""visit_id"": ""Error: Slot unavailable""}",FAILED,2437,2026-07-21 06:51:11
LOG1104,SESS506,OWN1929,schedule_property_visit,"{""property_id"": ""PROP1679"", ""user_name"": ""Alka Wable"", ""slot"": ""2026-08-10 11:00 AM""}","{""status"": ""SUCCESS"", ""visit_id"": ""VST1028""}",SUCCESS,593,2026-07-21 06:51:07
LOG1105,SESS664,OWN1439,estimate_fair_price,"{""property_id"": ""PROP1187"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""FAILED"", ""estimated_price"": ""Error: Incomplete historical sales data""}",FAILED,455,2026-07-21 06:50:40
LOG1106,SESS566,OWN1389,get_average_rent,"{""locality"": ""Cyber City Gurgaon"", ""bhk"": 2}","{""status"": ""SUCCESS"", ""avg_rent_inr"": 29059}",SUCCESS,1802,2026-07-21 06:50:27
LOG1107,SESS571,OWN1771,schedule_property_visit,"{""property_id"": ""PROP1084"", ""user_name"": ""Devika Rastogi"", ""slot"": ""2026-08-10 11:00 AM""}","{""status"": ""SUCCESS"", ""visit_id"": ""VST1482""}",SUCCESS,329,2026-07-21 06:51:14
LOG1108,SESS691,OWN1553,search_properties_rag,"{""query"": ""2BHK under 50L near metro"", ""locality"": ""South Delhi"", ""max_price"": 5000000}","{""status"": ""FAILED"", ""matches_found"": 0, ""top_property_id"": ""PROP1230""}",FAILED,531,2026-07-21 06:50:53
LOG1109,SESS699,OWN1981,search_properties_rag,"{""query"": ""2BHK under 50L near metro"", ""locality"": ""Noida Sector 62"", ""max_price"": 5000000}","{""status"": ""SUCCESS"", ""matches_found"": 2, ""top_property_id"": ""PROP1860""}",SUCCESS,333,2026-07-21 06:50:41
