property_id,owner_id,title,locality,city,property_type,listing_type,bhk,area_sqft,price,near_metro,metro_distance_km,occupancy_type,gender_preference,food_included,food_type,description_text,created_at
PROP1024,OWN1050,4 BHK Builder Floor in Greater Noida Pari Chowk,Greater Noida Pari Chowk,Delhi NCR,BUILDER_FLOOR,SALE,4,2108,11104711,True,1.13,FULL_FLAT,ANY,False,NONE,"Spacious 4 BHK Builder Floor Available for Sale in Greater Noida Pari Chowk. Covered area is 2108 sq.ft. Listed price is ₹11,104,711. Proximity to metro: 1.13 km.",2025-09-15 19:54:21
PROP1025,OWN1174,5 BHK Apartment in Vasant Kunj,Vasant Kunj,Delhi NCR,APARTMENT,SALE,5,3645,13907474,True,0.62,FULL_FLAT,ANY,False,NONE,"Spacious 5 BHK Apartment Available for Sale in Vasant Kunj. Covered area is 3645 sq.ft. Listed price is ₹13,907,474. Proximity to metro: 0.62 km.",2026-07-05 15:42:36
PROP1026,OWN1237,1 BHK Pg in Gurgaon Golf Course Road,Gurgaon Golf Course Road,Delhi NCR,PG,PG,1,139,21520,True,2.33,TRIPLE_SHARING,MALE,True,VEG,"Well-maintained triple sharing PG for males located at Gurgaon Golf Course Road. Monthly rent is ₹21,520. Food is included (veg). Nearest metro station is 2.33 km away.",2025-11-20 23:31:01
PROP1027,OWN1122,2 BHK Builder Floor in Janakpuri,Janakpuri,Delhi NCR,BUILDER_FLOOR,RENT,2,1104,19685,True,1.07,FULL_FLAT,ANY,False,NONE,"Spacious 2 BHK Builder Floor Available for Rent in Janakpuri. Covered area is 1104 sq.ft. Listed price is ₹19,685. Proximity to metro: 1.07 km.",2025-08-23 21:59:52
PROP1028,OWN1200,1 BHK Pg in Cyber City Gurgaon,Cyber City Gurgaon,Delhi NCR,PG,PG,1,320,21909,True,0.64,DOUBLE_SHARING,FEMALE,False,NONE,"Well-maintained double sharing PG for females located at Cyber City Gurgaon. Monthly rent is ₹21,909. Food is not included. Nearest metro station is 0.64 km away.",2025-08-25 08:48:09
PROP1029,OWN1112,1 BHK Independent House in West Delhi,West Delhi,Delhi NCR,INDEPENDENT_HOUSE,RENT,1,641,53104,True,0.32,FULL_FLAT,ANY,False,NONE,"Spacious 1 BHK Independent House Available for Rent in West Delhi. Covered area is 641 sq.ft. Listed price is ₹53,104. Proximity to metro: 0.32 km.",2026-05-26 13:56:31
PROP1030,OWN1245,1 BHK Pg in Faridabad Sector 81,Faridabad Sector 81,Delhi NCR,PG,PG,1,255,12158,True,1.57,SINGLE,UNISEX,True,VEG,"Well-maintained single PG for unisexs located at Faridabad Sector 81. Monthly rent is ₹12,158. Food is included (veg). Nearest metro station is 1.57 km away.",2026-02-26 13:07:38
PROP1031,OWN1121,2 BHK Independent House in Noida Sector 76,Noida Sector 76,Delhi NCR,INDEPENDENT_HOUSE,SALE,2,1592,44397505,True,1.62,FULL_FLAT,ANY,False,NONE,"Spacious 2 BHK Independent House Available for Sale in Noida Sector 76. Covered area is 1592 sq.ft. Listed price is ₹44,397,505. Proximity to metro: 1.62 km.",2026-05-11 20:06:09
PROP1032,OWN1215,2 BHK Builder Floor in Faridabad Neharpar,Faridabad Neharpar,Delhi NCR,BUILDER_FLOOR,SALE,2,1320,20517943,True,1.11,FULL_FLAT,ANY,False,NONE,"Spacious 2 BHK Builder Floor Available for Sale in Faridabad Neharpar. Covered area is 1320 sq.ft. Listed price is ₹20,517,943. Proximity to metro: 1.11 km.",2026-04-13 13:39:49
PROP1033,OWN1154,1 BHK Apartment in Ghaziabad Vasundhara,Ghaziabad Vasundhara,Delhi NCR,APARTMENT,SALE,1,734,42281863,True,0.37,FULL_FLAT,ANY,False,NONE,"Spacious 1 BHK Apartment Available for Sale in Ghaziabad Vasundhara. Covered area is 734 sq.ft. Listed price is ₹42,281,863. Proximity to metro: 0.37 km.",2026-02-01 21:27:24
PROP1034,OWN1110,1 BHK Builder Floor in Faridabad Sector 81,Faridabad Sector 81,Delhi NCR,BUILDER_FLOOR,SALE,1,625,29298543,True,0.56,FULL_FLAT,ANY,False,NONE,"Spacious 1 BHK Builder Floor Available for Sale in Faridabad Sector 81. Covered area is 625 sq.ft. Listed price is ₹29,298,543. Proximity to metro: 0.56 km.",2026-07-11 11:06:33
PROP1035,OWN1279,1 BHK Independent House in Sohna Road Gurgaon,Sohna Road Gurgaon,Delhi NCR,INDEPENDENT_HOUSE,RENT,1,620,84692,True,2.34,FULL_FLAT,ANY,False,NONE,"Spacious 1 BHK Independent House Available for Rent in Sohna Road Gurgaon. Covered area is 620 sq.ft. Listed price is ₹84,692. Proximity to metro: 2.34 km.",2025-12-06 07:09:05
PROP1036,OWN1054,5 BHK Apartment in Hauz Khas,Hauz Khas,Delhi NCR,APARTMENT,SALE,5,2895,22776979,True,1.59,FULL_FLAT,ANY,False,NONE,"Spacious 5 BHK Apartment Available for Sale in Hauz Khas. Covered area is 2895 sq.ft. Listed price is ₹22,776,979. Proximity to metro: 1.59 km.",2026-02-07 16:03:56
PROP1037,OWN1176,4 BHK Builder Floor in Preet Vihar,Preet Vihar,Delhi NCR,BUILDER_FLOOR,RENT,4,2056,18658,True,1.66,FULL_FLAT,ANY,False,NONE,"Spacious 4 BHK Builder Floor Available for Rent in Preet Vihar. Covered area is 2056 sq.ft. Listed price is ₹18,658. Proximity to metro: 1.66 km.",2026-05-19 23:22:20
PROP1038,OWN1142,3 BHK Apartment in East Delhi,East Delhi,Delhi NCR,APARTMENT,SALE,3,1746,34151079,False,6.41,FULL_FLAT,ANY,False,NONE,"Spacious 3 BHK Apartment Available for Sale in East Delhi. Covered area is 1746 sq.ft. Listed price is ₹34,151,079. Proximity to metro: 6.41 km.",2026-03-03 22:48:20
PROP1039,OWN1288,2 BHK Independent House in South Delhi,South Delhi,Delhi NCR,INDEPENDENT_HOUSE,SALE,2,1558,6917807,True,1.54,FULL_FLAT,ANY,False,NONE,"Spacious 2 BHK Independent House Available for Sale in South Delhi. Covered area is 1558 sq.ft. Listed price is ₹6,917,807. Proximity to metro: 1.54 km.",2026-05-31 18:31:33
PROP1040,OWN1076,3 BHK Builder Floor in Greater Noida Pari Chowk,Greater Noida Pari Chowk,Delhi NCR,BUILDER_FLOOR,SALE,3,1560,28512171,True,1.77,FULL_FLAT,ANY,False,NONE,"Spacious 3 BHK Builder Floor Available for Sale in Greater Noida Pari Chowk. Covered area is 1560 sq.ft. Listed price is ₹28,512,171. Proximity to metro: 1.77 km.",2026-02-16 21:56:25
PROP1041,OWN1053,2 BHK Builder Floor in Noida Sector 150,Noida Sector 150,Delhi NCR,BUILDER_FLOOR,RENT,2,1020,33299,True,2.23,FULL_FLAT,ANY,False,NONE,"Spacious 2 BHK Builder Floor Available for Rent in Noida Sector 150. Covered area is 1020 sq.ft. Listed price is ₹33,299. Proximity to metro: 2.23 km.",2026-04-04 09:07:03
PROP1042,OWN1013,4 BHK Builder Floor in Lajpat Nagar,Lajpat Nagar,Delhi NCR,BUILDER_FLOOR,RENT,4,2484,44527,True,0.57,FULL_FLAT,ANY,False,NONE,"Spacious 4 BHK Builder Floor Available for Rent in Lajpat Nagar. Covered area is 2484 sq.ft. Listed price is ₹44,527. Proximity to metro: 0.57 km.",2025-08-06 18:41:43
PROP1043,OWN1056,1 BHK Pg in Noida Sector 18,Noida Sector 18,Delhi NCR,PG,PG,1,339,22423,True,0.9,SINGLE,MALE,False,NONE,"Well-maintained single PG for males located at Noida Sector 18. Monthly rent is ₹22,423. Food is not included. Nearest metro station is 0.9 km away.",2025-10-12 06:42:41
PROP1044,OWN1117,4 BHK Apartment in Gurgaon Sector 56,Gurgaon Sector 56,Delhi NCR,APARTMENT,SALE,4,2672,23196734,True,2.42,FULL_FLAT,ANY,False,NONE,"Spacious 4 BHK Apartment Available for Sale in Gurgaon Sector 56. Covered area is 2672 sq.ft. Listed price is ₹23,196,734. Proximity to metro: 2.42 km.",2025-11-03 17:42:55
PROP1045,OWN1143,3 BHK Builder Floor in Noida Sector 150,Noida Sector 150,Delhi NCR,BUILDER_FLOOR,RENT,3,1371,27118,True,0.61,FULL_FLAT,ANY,False,NONE,"Spacious 3 BHK Builder Floor Available for Rent in Noida Sector 150. Covered area is 1371 sq.ft. Listed price is ₹27,118. Proximity to metro: 0.61 km.",2025-08-19 04:26:50
PROP1046,OWN1136,3 BHK Builder Floor in East Delhi,East Delhi,Delhi NCR,BUILDER_FLOOR,SALE,3,1980,33785897,False,7.91,FULL_FLAT,ANY,False,NONE,"Spacious 3 BHK Builder Floor Available for Sale in East Delhi. Covered area is 1980 sq.ft. Listed price is ₹33,785,897. Proximity to metro: 7.91 km.",2025-10-14 01:35:56
PROP1047,OWN1060,1 BHK Pg in Noida Sector 18,Noida Sector 18,Delhi NCR,PG,PG,1,168,15346,True,1.4,SINGLE,UNISEX,False,NONE,"Well-maintained single PG for unisexs located at Noida Sector 18. Monthly rent is ₹15,346. Food is not included. Nearest metro station is 1.4 km away.",2025-08-26 22:21:51
PROP1048,OWN1276,3 BHK Apartment in Pitampura,Pitampura,Delhi NCR,APARTMENT,SALE,3,1980,12863463,False,7.46,FULL_FLAT,ANY,False,NONE,"Spacious 3 BHK Apartment Available for Sale in Pitampura. Covered area is 1980 sq.ft. Listed price is ₹12,863,463. Proximity to metro: 7.46 km.",2025-10-30 13:39:35
PROP1049,OWN1260,4 BHK Builder Floor in Sohna Road Gurgaon,Sohna Road Gurgaon,Delhi NCR,BUILDER_FLOOR,RENT,4,2512,50752,False,3.29,FULL_FLAT,ANY,False,NONE,"Spacious 4 BHK Builder Floor Available for Rent in Sohna Road Gurgaon. Covered area is 2512 sq.ft. Listed price is ₹50,752. Proximity to metro: 3.29 km.",2026-03-10 05:16:02
PROP1050,OWN1216,3 BHK Apartment in Noida Sector 18,Noida Sector 18,Delhi NCR,APARTMENT,RENT,3,1659,83819,True,0.9,FULL_FLAT,ANY,False,NONE,"Spacious 3 BHK Apartment Available for Rent in Noida Sector 18. Covered area is 1659 sq.ft. Listed price is ₹83,819. Proximity to metro: 0.9 km.",2025-12-01 07:02:28
PROP1051,OWN1108,3 BHK Independent House in Greater Noida Pari Chowk,Greater Noida Pari Chowk,Delhi NCR,INDEPENDENT_HOUSE,RENT,3,1707,69905,True,1.75,FULL_FLAT,ANY,False,NONE,"Spacious 3 BHK Independent House Available for Rent in Greater Noida Pari Chowk. Covered area is 1707 sq.ft. Listed price is ₹69,905. Proximity to metro: 1.75 km.",2025-12-03 05:55:39
PROP1052,OWN1262,2 BHK Independent House in Ghaziabad Raj Nagar Extension,Ghaziabad Raj Nagar Extension,Delhi NCR,INDEPENDENT_HOUSE,RENT,2,1236,23114,True,1.39,FULL_FLAT,ANY,False,NONE,"Spacious 2 BHK Independent House Available for Rent in Ghaziabad Raj Nagar Extension. Covered area is 1236 sq.ft. Listed price is ₹23,114. Proximity to metro: 1.39 km.",2025-10-05 13:29:54
PROP1053,OWN1172,1 BHK Pg in Dwarka Sector 21,Dwarka Sector 21,Delhi NCR,PG,PG,1,312,14696,True,0.26,TRIPLE_SHARING,FEMALE,True,VEG,"Well-maintained triple sharing PG for females located at Dwarka Sector 21. Monthly rent is ₹14,696. Food is included (veg). Nearest metro station is 0.26 km away.",2025-10-26 13:16:24
PROP1054,OWN1126,4 BHK Apartment in Ghaziabad Raj Nagar Extension,Ghaziabad Raj Nagar Extension,Delhi NCR,APARTMENT,RENT,4,2224,37485,False,6.36,FULL_FLAT,ANY,False,NONE,"Spacious 4 BHK Apartment Available for Rent in Ghaziabad Raj Nagar Extension. Covered area is 2224 sq.ft. Listed price is ₹37,485. Proximity to metro: 6.36 km.",2026-06-28 03:29:57
PROP1055,OWN1254,1 BHK Independent House in Noida Sector 76,Noida Sector 76,Delhi NCR,INDEPENDENT_HOUSE,SALE,1,554,33031078,True,0.6,FULL_FLAT,ANY,False,NONE,"Spacious 1 BHK Independent House Available for Sale in Noida Sector 76. Covered area is 554 sq.ft. Listed price is ₹33,031,078. Proximity to metro: 0.6 km.",2026-03-14 17:31:57
PROP1056,OWN1266,1 BHK Apartment in Ghaziabad Vasundhara,Ghaziabad Vasundhara,Delhi NCR,APARTMENT,SALE,1,733,13448235,True,1.74,FULL_FLAT,ANY,False,NONE,"Spacious 1 BHK Apartment Available for Sale in Ghaziabad Vasundhara. Covered area is 733 sq.ft. Listed price is ₹13,448,235. Proximity to metro: 1.74 km.",2026-02-28 12:30:22
PROP1057,OWN1287,1 BHK Pg in DLF Phase 5,DLF Phase 5,Delhi NCR,PG,PG,1,348,21502,False,5.01,TRIPLE_SHARING,UNISEX,False,NONE,"Well-maintained triple sharing PG for unisexs located at DLF Phase 5. Monthly rent is ₹21,502. Food is not included. Nearest metro station is 5.01 km away.",2025-09-21 13:10:13
PROP1058,OWN1082,3 BHK Apartment in Ghaziabad Raj Nagar Extension,Ghaziabad Raj Nagar Extension,Delhi NCR,APARTMENT,RENT,3,1938,80327,True,1.64,FULL_FLAT,ANY,False,NONE,"Spacious 3 BHK Apartment Available for Rent in Ghaziabad Raj Nagar Extension. Covered area is 1938 sq.ft. Listed price is ₹80,327. Proximity to metro: 1.64 km.",2026-04-13 08:21:37
PROP1059,OWN1141,2 BHK Builder Floor in Ghaziabad Indirapuram,Ghaziabad Indirapuram,Delhi NCR,BUILDER_FLOOR,SALE,2,1278,27038346,True,2.25,FULL_FLAT,ANY,False,NONE,"Spacious 2 BHK Builder Floor Available for Sale in Ghaziabad Indirapuram. Covered area is 1278 sq.ft. Listed price is ₹27,038,346. Proximity to metro: 2.25 km.",2025-09-18 17:21:25
PROP1060,OWN1042,2 BHK Builder Floor in Hauz Khas,Hauz Khas,Delhi NCR,BUILDER_FLOOR,SALE,2,1218,8810325,True,1.14,FULL_FLAT,ANY,False,NONE,"Spacious 2 BHK Builder Floor Available for Sale in Hauz Khas. Covered area is 1218 sq.ft. Listed price is ₹8,810,325. Proximity to metro: 1.14 km.",2025-12-06 15:13:31
PROP1061,OWN1278,4 BHK Apartment in Ghaziabad Vasundhara,Ghaziabad Vasundhara,Delhi NCR,APARTMENT,RENT,4,2196,14560,False,4.65,FULL_FLAT,ANY,False,NONE,"Spacious 4 BHK Apartment Available for Rent in Ghaziabad Vasundhara. Covered area is 2196 sq.ft. Listed price is ₹14,560. Proximity to metro: 4.65 km.",2026-07-17 10:56:03
PROP1062,OWN1004,4 BHK Builder Floor in Noida Sector 150,Noida Sector 150,Delhi NCR,BUILDER_FLOOR,SALE,4,3100,41150318,False,7.45,FULL_FLAT,ANY,False,NONE,"Spacious 4 BHK Builder Floor Available for Sale in Noida Sector 150. Covered area is 3100 sq.ft. Listed price is ₹41,150,318. Proximity to metro: 7.45 km.",2026-03-11 19:05:39
PROP1063,OWN1250,1 BHK Builder Floor in Gurgaon Sector 56,Gurgaon Sector 56,Delhi NCR,BUILDER_FLOOR,SALE,1,699,27057271,False,6.27,FULL_FLAT,ANY,False,NONE,"Spacious 1 BHK Builder Floor Available for Sale in Gurgaon Sector 56. Covered area is 699 sq.ft. Listed price is ₹27,057,271. Proximity to metro: 6.27 km.",2026-02-09 11:05:52
PROP1064,OWN1208,1 BHK Pg in Janakpuri,Janakpuri,Delhi NCR,PG,PG,1,152,24502,False,4.91,SINGLE,FEMALE,True,VEG,"Well-maintained single PG for females located at Janakpuri. Monthly rent is ₹24,502. Food is included (veg). Nearest metro station is 4.91 km away.",2026-03-28 02:10:27
PROP1065,OWN1237,3 BHK Builder Floor in Lajpat Nagar,Lajpat Nagar,Delhi NCR,BUILDER_FLOOR,SALE,3,1824,35014355,True,0.98,FULL_FLAT,ANY,False,NONE,"Spacious 3 BHK Builder Floor Available for Sale in Lajpat Nagar. Covered area is 1824 sq.ft. Listed price is ₹35,014,355. Proximity to metro: 0.98 km.",2026-05-24 21:14:51
PROP1066,OWN1195,3 BHK Builder Floor in Golf Course Extension Road,Golf Course Extension Road,Delhi NCR,BUILDER_FLOOR,RENT,3,1410,73644,True,1.92,FULL_FLAT,ANY,False,NONE,"Spacious 3 BHK Builder Floor Available for Rent in Golf Course Extension Road. Covered area is 1410 sq.ft. Listed price is ₹73,644. Proximity to metro: 1.92 km.",2026-04-30 11:14:20
PROP1067,OWN1027,1 BHK Apartment in Noida Sector 150,Noida Sector 150,Delhi NCR,APARTMENT,SALE,1,515,21094901,True,2.13,FULL_FLAT,ANY,False,NONE,"Spacious 1 BHK Apartment Available for Sale in Noida Sector 150. Covered area is 515 sq.ft. Listed price is ₹21,094,901. Proximity to metro: 2.13 km.",2025-10-12 16:47:25
PROP1068,OWN1079,1 BHK Independent House in Gurgaon Golf Course Road,Gurgaon Golf Course Road,Delhi NCR,INDEPENDENT_HOUSE,SALE,1,788,19127352,True,1.81,FULL_FLAT,ANY,False,NONE,"Spacious 1 BHK Independent House Available for Sale in Gurgaon Golf Course Road. Covered area is 788 sq.ft. Listed price is ₹19,127,352. Proximity to metro: 1.81 km.",2025-08-01 18:23:34
PROP1069,OWN1189,1 BHK Independent House in Janakpuri,Janakpuri,Delhi NCR,INDEPENDENT_HOUSE,RENT,1,649,33465,True,0.45,FULL_FLAT,ANY,False,NONE,"Spacious 1 BHK Independent House Available for Rent in Janakpuri. Covered area is 649 sq.ft. Listed price is ₹33,465. Proximity to metro: 0.45 km.",2025-11-13 06:11:44
PROP1070,OWN1014,4 BHK Builder Floor in Sohna Road Gurgaon,Sohna Road Gurgaon,Delhi NCR,BUILDER_FLOOR,RENT,4,2532,37995,True,1.56,FULL_FLAT,ANY,False,NONE,"Spacious 4 BHK Builder Floor Available for Rent in Sohna Road Gurgaon. Covered area is 2532 sq.ft. Listed price is ₹37,995. Proximity to metro: 1.56 km.",2025-10-26 19:57:44
PROP1071,OWN1125,1 BHK Builder Floor in Vasant Kunj,Vasant Kunj,Delhi NCR,BUILDER_FLOOR,RENT,1,594,17383,True,1.43,FULL_FLAT,ANY,False,NONE,"Spacious 1 BHK Builder Floor Available for Rent in Vasant Kunj. Covered area is 594 sq.ft. Listed price is ₹17,383. Proximity to metro: 1.43 km.",2025-10-06 02:26:05
PROP1072,OWN1190,1 BHK Builder Floor in Central Delhi,Central Delhi,Delhi NCR,BUILDER_FLOOR,RENT,1,557,76251,True,1.2,FULL_FLAT,ANY,False,NONE,"Spacious 1 BHK Builder Floor Available for Rent in Central Delhi. Covered area is 557 sq.ft. Listed price is ₹76,251. Proximity to metro: 1.2 km.",2026-06-30 10:19:48
PROP1073,OWN1186,2 BHK Builder Floor in Ghaziabad Vasundhara,Ghaziabad Vasundhara,Delhi NCR,BUILDER_FLOOR,RENT,2,1274,80386,False,4.06,FULL_FLAT,ANY,False,NONE,"Spacious 2 BHK Builder Floor Available for Rent in Ghaziabad Vasundhara. Covered area is 1274 sq.ft. Listed price is ₹80,386. Proximity to metro: 4.06 km.",2026-06-06 03:02:17
